00001;16009;00050.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00002;49508;00010.000;Pck 15St            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00003;49508;00020.000;Pck 15St            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00004;5828;00001.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00005;39919;00003.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00006;38404;00002.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00007;16007;00008.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00008;38403;00007.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00009;5840;00003.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00010;5841;00001.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00011;20033;00009.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00012;2766;00005.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00013;2821;00010.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00014;59899;00002.000;Btl 5kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00015;59899;00002.000;Btl 5kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00016;15800;00030.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00017;2792;00003.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00018;2792;00006.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00019;4158;00003.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00020;2837;00002.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00021;30643;00003.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00022;2832;00003.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00023;2832;00012.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00024;3084;00014.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00025;106397;00096.000;Be 40g              ;BE ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00026;2825;00009.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00027;2819;00008.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00028;7686;00005.000;kg                  ;KG ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00029;2764;00004.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00030;2774;00007.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00031;2796;00003.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
