00001;101443;00008.000;Ktn 50x220g St      ;KTN;M. ZIEKER ;P. KNEIFEL;TK02                          ;67000 ;
00002;97749;00051.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TK02                          ;67000 ;
00003;46190;00061.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TK02                          ;67000 ;
00004;90117;00018.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00005;86969;00019.000;Btl 1000g           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00006;94947;00070.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00007;91486;00127.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00008;97457;00023.000;Ktn 24x2x230g Pck   ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00009;58589;00237.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00010;44269;00238.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00011;86219;00095.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00012;58590;00104.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00013;60108;00202.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00014;90441;00026.000;Ktn 22x400g St      ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00015;56419;00055.000;Ktn 5kg             ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00016;97749;00010.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00017;48390;00043.000;Ktn 2kg             ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00018;75742;00026.000;Ktn 35x160g St      ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00019;58586;00260.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00020;58593;00109.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00021;86222;00337.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00022;81216;00076.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00023;106452;00220.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00024;86223;00015.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00025;68537;00100.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00026;59587;00124.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00027;59583;00231.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00028;59592;00220.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00029;59590;00047.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00030;86232;00132.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00031;75543;00001.000;Ktn 2,5kg=21St      ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00032;70544;00034.000;Ktn 40xca.150g St   ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00033;52586;00008.000;Ktn 5kg=17St        ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00034;106181;00075.000;Btl 1,2kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00035;106182;00068.000;Btl 1,2kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00036;81704;00019.000;Ktn 30x190g Prt     ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00037;18273;00475.170;kg                  ;KG ;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00038;88474;00019.000;Ktn 5kg             ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00039;61056;00318.000;Btl 500g            ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00040;70505;00182.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00041;66515;00139.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00042;86224;00176.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00043;72840;00124.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00044;72810;00100.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00045;58579;00020.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00046;72815;00036.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00047;60972;00008.000;Ktn 40x100g St      ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00048;58040;00012.000;Ktn 5kg             ;KTN;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00049;72806;00023.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00050;73322;00052.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00051;79829;00019.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00052;58597;00235.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00053;86228;00050.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00054;58587;00058.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00055;58588;00092.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00056;72809;00074.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00057;92224;00033.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00058;68073;00032.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00059;41018;00039.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00060;85348;00113.000;Btl 1kg             ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
00061;58584;00147.000;Btl 2,5kg           ;BTL;M. ZIEKER ;P. KNEIFEL;TKG2BL2BIS16                  ;67000 ;
