00001;39343;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00002;9777;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00003;38428;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00005;38427;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00006;39245;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00007;9219;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00008;9220;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00009;36681;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00010;38077;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00011;39560;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00012;39558;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00013;30783;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00014;38018;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00015;37628;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00016;6636;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00017;6636;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00018;38560;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00019;37789;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00020;15145;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00022;37810;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
