00001;56578;00006.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00002;100033;00001.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00003;100038;00001.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00004;95576;00001.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00005;94201;00001.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00006;95580;00001.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00007;69062;00004.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00008;94195;00004.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00009;95519;00004.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00010;56609;00004.000;Pck 250St           ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00011;55022;00048.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00012;57063;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00013;57063;00002.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00014;95976;00008.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00015;95970;00021.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00016;80501;00002.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00017;80613;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00018;70026;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00019;56956;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00020;95970;00024.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00021;80613;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00022;80501;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00023;95982;00019.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00024;70023;00005.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00025;76248;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00026;76234;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00027;76250;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00028;40314;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00029;96138;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00030;80501;00005.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00031;96068;00007.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00032;77213;00036.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00033;77074;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00034;76986;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00035;95654;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00036;47916;00030.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00037;76326;00012.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00038;47930;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00039;47917;00012.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00040;47917;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00041;47920;00018.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00042;82020;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00043;69814;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00044;47921;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00045;74444;00048.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00046;77212;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00047;95655;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00048;76954;00012.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00049;74430;00018.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00050;54756;00030.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00051;54759;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00052;69786;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00053;47930;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00054;77171;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00055;76326;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00056;54754;00036.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00057;54759;00018.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00058;76986;00006.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00059;76954;00048.000;Pck 40St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00060;69787;00008.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00061;69786;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00062;56963;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00063;74546;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00064;54763;00042.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00065;56788;00018.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00066;95654;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00067;54761;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00068;54762;00024.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00069;54470;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00070;80561;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00071;95978;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00072;96132;00008.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00073;80520;00004.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00074;95977;00009.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00075;56963;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00076;75874;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00077;40563;00004.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00078;75864;00002.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00079;96138;00003.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00080;70029;00003.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00081;95687;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00082;94436;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00083;95982;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00084;95970;00022.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00085;56963;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
