00001;48006;00147.000;Pck 75St            ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00002;78474;00019.000;Pck 4Rol            ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00003;91347;00010.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00004;52437;00044.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00005;94462;00007.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00006;83071;00044.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00007;94462;00043.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00008;74654;00008.000;Pck 20St            ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00009;77785;00014.000;Btl 250St           ;BTL;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00010;54285;00015.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00011;91347;00040.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00012;54284;00007.000;Ktn 2000St          ;KTN;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00013;79954;00093.000;Btl 80St            ;BTL;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00014;58196;00011.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00015;91313;00021.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00016;91427;00014.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00017;91417;00038.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00018;91375;00007.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00019;44124;00016.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00020;52460;00014.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00021;91370;00010.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00022;62058;00011.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00023;71487;00009.000;Pck 50St            ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00024;49481;00005.000;Pck 100St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00025;92908;00015.000;Pck 140St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00026;78493;00003.000;Btl 100St           ;BTL;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00027;43521;00005.000;Ktn 246St           ;KTN;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00028;47147;00002.000;Ktn 500St           ;KTN;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00029;54295;00005.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00030;73033;00002.000;Ktn 1000St          ;KTN;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00031;91389;00016.000;Pck 200St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00032;78129;00005.000;Ktn 250St           ;KTN;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
