00001;96878;00003.000;Pck 65St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00002;76238;00003.000;Pck 65St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00003;67598;00003.000;Pck 65St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00004;63908;00001.000;Pck 65St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00005;96879;00007.000;Pck 65St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00006;63911;00006.000;Pck 65St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00007;63913;00002.000;Pck 65St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00008;82871;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00009;83543;00004.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00010;83545;00008.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00011;87426;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00012;82871;00002.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00013;82874;00002.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00014;83544;00004.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00015;82021;00003.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00016;82879;00004.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00017;82874;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00018;82021;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00019;71886;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00020;71886;00004.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00021;87429;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00022;82021;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00023;83540;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00024;87429;00005.000;Pck 100St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00025;63913;00004.000;Pck 65St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00026;81047;00007.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00027;81048;00007.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00028;80790;00009.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00029;80791;00009.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00030;80759;00001.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00031;80767;00001.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00032;81048;00012.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00033;81048;00012.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00034;80738;00012.000;Pck 250St           ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
